Moviename,Runtime (min),Genre,Rating,MPAA_Rating,Director,Actors,Votes,Year,Gross(M),Updated Genre
Midnight in Paris,94,"Comedy, Fantasy, Romance",7.7,PG-13,Woody Allen,"Owen Wilson, Rachel McAdams, Kathy Bates, Kurt Fuller",412054,2011,56.82,Comedy
Confessions,106,"Drama, Thriller",7.7,Not Rated,Tetsuya Nakashima,"Takako Matsu, Yoshino Kimura, Masaki Okada, Yukito Nishii",38218,2010,0.0,Drama
The Lego Movie,100,"Animation, Action, Adventure",7.7,PG,Christopher Miller,"Chris Pratt, Will Ferrell, Elizabeth Banks, Will Arnett",341996,2014,257.76,Animation
Gravity,91,"Action, Drama, Sci-Fi",7.7,PG-13,Alfonso Cuarón,"Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen",805961,2013,274.09,Action
Magadheera,147,"Action, Drama, Fantasy",7.7,Not Rated,S.S. Rajamouli,"Ram Charan, Kajal Aggarwal, Dev Gill, Srihari",20306,2009,0.0,Action
Star Trek Into Darkness,132,"Action, Adventure, Sci-Fi",7.7,PG-13,J.J. Abrams,"Chris Pine, Zachary Quinto, Zoe Saldana, Benedict Cumberbatch",477166,2013,228.78,Action
Undertow,97,"Drama, Fantasy, Romance",7.7,Not Rated,Javier Fuentes-León,"Cristian Mercado, Tatiana Astengo, Manolo Cardona, Attilia Boschetti",6820,2009,0.0,Drama
Beasts of No Nation,137,"Drama, War",7.7,TV-MA,Cary Joji Fukunaga,"Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote",79462,2015,0.08,Drama
Kuruthi,122,Thriller,7.7,Not Rated,Manu Warrier,"Prithviraj Sukumaran, Roshan Mathew, Mammukoya, Srindaa",5354,2021,0.0,Thriller
Autumn,99,Drama,7.7,Not Rated,Özcan Alper,"Onur Saylak, Megi Kobaladze, Serkan Keskin, Raife Yenigül",6282,2008,0.0,Drama
Oye Lucky! Lucky Oye!,125,"Action, Comedy, Crime",7.7,Not Rated,Dibakar Banerjee,"Abhay Deol, Paresh Rawal, Nitu Chandra, Archana Puran Singh",17273,2008,0.08,Action
The Social Network,120,"Biography, Drama",7.7,PG-13,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Rooney Mara",675012,2010,96.96,Biography
X-Men: First Class,131,"Action, Adventure, Sci-Fi",7.7,PG-13,Matthew Vaughn,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Kevin Bacon",674036,2011,146.41,Action
Mumbai Meri Jaan,134,Drama,7.7,Not Rated,Nishikant Kamat,"Paresh Rawal, Kay Kay Menon, Irrfan Khan, Madhavan",6276,2008,0.01,Drama
Aamir,99,"Action, Crime, Drama",7.7,Not Rated,Raj Kumar Gupta,"Rajeev Khandelwal, Mukesh Agrohari, Aishwarya, Vasan Bala",11197,2008,0.0,Action
Rock On!!,145,"Drama, Music",7.7,Not Rated,Abhishek Kapoor,"Arjun Rampal, Farhan Akhtar, Luke Kenny, Purab Kohli",21812,2008,0.0,Drama
Mass,111,Drama,7.7,PG-13,Fran Kranz,"Jason Isaacs, Martha Plimpton, Ann Dowd, Reed Birney",8679,2021,0.0,Drama
Licorice Pizza,133,"Comedy, Drama, Romance",7.7,R,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits",35814,2021,0.0,Comedy
City of Life and Death,133,"Drama, History, War",7.7,R,Chuan Lu,"Ye Liu, Wei Fan, Hideo Nakaizumi, Yuanyuan Gao",10912,2009,0.12,Drama
The Hangover,100,Comedy,7.7,R,Todd Phillips,"Zach Galifianakis, Bradley Cooper, Justin Bartha, Ed Helms",759521,2009,277.32,Comedy
Silver Linings Playbook,122,"Comedy, Drama, Romance",7.7,R,David O. Russell,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",693416,2012,132.09,Comedy
Another Round,117,"Comedy, Drama",7.7,Not Rated,Thomas Vinterberg,"Mads Mikkelsen, Thomas Bo Larsen, Magnus Millang, Lars Ranthe",135166,2020,0.0,Comedy
Argo,120,"Biography, Drama, Thriller",7.7,R,Ben Affleck,"Ben Affleck, Bryan Cranston, John Goodman, Alan Arkin",600494,2012,136.03,Biography
Shelter,97,"Drama, Romance, Sport",7.7,R,Jonah Markowitz,"Trevor Wright, Brad Rowe, Tina Holmes, Jackson Wurth",22229,2007,0.14,Drama
Harry Potter and the Deathly Hallows: Part 1,146,"Adventure, Family, Fantasy",7.7,PG-13,David Yates,"Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy",523605,2010,295.98,Adventure
Evangelion: 1.0 You Are (Not) Alone,98,"Animation, Action, Drama",7.7,PG-13,Masayuki,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi, Yuriko Yamaguchi",22684,2007,0.11,Animation
Ponyo,101,"Animation, Adventure, Comedy",7.7,G,Hayao Miyazaki,"Cate Blanchett, Matt Damon, Liam Neeson, Tomoko Yamaguchi",137502,2008,15.09,Animation
Frost/Nixon,122,"Biography, Drama, History",7.7,R,Ron Howard,"Frank Langella, Michael Sheen, Kevin Bacon, Sam Rockwell",106889,2008,18.59,Biography
Paprika,90,"Animation, Drama, Fantasy",7.7,R,Satoshi Kon,"Megumi Hayashibara, Tôru Emori, Katsunosuke Hori, Tôru Furuya",79445,2006,0.88,Animation
Fireworks Wednesday,102,"Drama, Mystery, Romance",7.7,Not Rated,Asghar Farhadi,"Hamid Farokhnezhad, Hediyeh Tehrani, Taraneh Alidoosti, Pantea Bahram",11859,2006,0.0,Drama
Changeling,141,"Biography, Crime, Drama",7.7,R,Clint Eastwood,"Angelina Jolie, Colm Feore, Amy Ryan, Gattlin Griffith",250835,2008,35.74,Biography
Flipped,90,"Comedy, Drama, Romance",7.7,PG,Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards",88136,2010,1.75,Comedy
The Girl Who Leapt Through Time,98,"Animation, Adventure, Comedy",7.7,TV-PG,Mamoru Hosoda,"Riisa Naka, Takuya Ishida, Mitsutaka Itakura, Ayami Kakiuchi",64528,2006,0.0,Animation
Guru,166,Drama,7.7,Not Rated,Mani Ratnam,"Mithun Chakraborty, Abhishek Bachchan, Aishwarya Rai Bachchan, Madhavan",23324,2007,2.09,Drama
This Is England,101,"Crime, Drama",7.7,Not Rated,Shane Meadows,"Thomas Turgoose, Stephen Graham, Jo Hartley, Andrew Shim",120505,2006,0.33,Crime
Welcome to Dongmakgol,133,"Comedy, Drama, War",7.7,Not Rated,Kwang-Hyun Park,"Jae-yeong Jeong, Shin Ha-kyun, Kang Hye-jeong, Ha-ryong Lim",7065,2005,0.0,Comedy
Ex Machina,108,"Drama, Sci-Fi, Thriller",7.7,R,Alex Garland,"Alicia Vikander, Domhnall Gleeson, Oscar Isaac, Sonoya Mizuno",518425,2014,25.44,Drama
After the Wedding,120,Drama,7.7,R,Susanne Bier,"Mads Mikkelsen, Sidse Babett Knudsen, Rolf Lassgård, Neeral Mulchandani",34146,2006,0.41,Drama
The Last King of Scotland,123,"Biography, Drama, History",7.7,R,Kevin Macdonald,"James McAvoy, Forest Whitaker, Gillian Anderson, Kerry Washington",183369,2006,17.61,Biography
Zodiac,157,"Crime, Drama, Mystery",7.7,R,David Fincher,"Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards",514876,2007,33.08,Crime
The Hidden Blade,132,"Drama, History, Romance",7.7,R,Yôji Yamada,"Masatoshi Nagase, Takako Matsu, Hidetaka Yoshioka, Yukiyoshi Ozawa",6640,2004,0.04,Drama
Lucky Number Slevin,110,"Crime, Drama, Thriller",7.7,R,Paul McGuigan,"Josh Hartnett, Ben Kingsley, Morgan Freeman, Lucy Liu",308945,2006,22.49,Crime
Beautiful City,98,Drama,7.7,Not Rated,Asghar Farhadi,"Taraneh Alidoosti, Faramarz Gharibian, Babak Ansari, Hossein Farzi-Zad",5598,2004,0.0,Drama
Joyeux Noel,116,"Drama, History, Music",7.7,PG-13,Christian Carion,"Diane Kruger, Benno Fürmann, Guillaume Canet, Natalie Dessay",29508,2005,1.05,Drama
Control,122,"Biography, Drama, Music",7.7,R,Anton Corbijn,"Sam Riley, Samantha Morton, Craig Parkinson, Alexandra Maria Lara",64370,2007,0.87,Biography
Shooting Dogs,115,"Drama, History, War",7.7,R,Michael Caton-Jones,"John Hurt, Hugh Dancy, Dominique Horwitz, Louis Mahoney",11447,2005,0.0,Drama
Cha no aji,143,"Comedy, Fantasy",7.7,Not Rated,Katsuhito Ishii,"Maya Banno, Takahiro Satô, Tadanobu Asano, Satomi Tezuka",6369,2004,0.0,Comedy
Tangled,100,"Animation, Adventure, Comedy",7.7,PG,Nathan Greno,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",434767,2010,200.82,Animation
Black Book,145,"Drama, Thriller, War",7.7,R,Paul Verhoeven,"Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn",75873,2006,4.4,Drama
Brokeback Mountain,134,"Drama, Romance",7.7,R,Ang Lee,"Jake Gyllenhaal, Heath Ledger, Michelle Williams, Randy Quaid",346380,2005,83.04,Drama
3:10 to Yuma,122,"Action, Crime, Drama",7.7,R,James Mangold,"Russell Crowe, Christian Bale, Ben Foster, Logan Lerman",303461,2007,53.61,Action
Machuca,121,"Biography, Drama, History",7.7,Not Rated,Andrés Wood,"Matías Quer, Ariel Mateluna, Manuela Martelli, Aline Küppenheim",11958,2004,0.0,Biography
Dear Frankie,105,"Drama, Romance",7.7,PG-13,Shona Auerbach,"Emily Mortimer, Jack McElhone, Gerard Butler, Mary Riggans",21676,2004,1.34,Drama
Crash,112,"Crime, Drama, Thriller",7.7,R,Paul Haggis,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave",431188,2004,54.58,Crime
The Bourne Supremacy,108,"Action, Mystery, Thriller",7.7,PG-13,Paul Greengrass,"Matt Damon, Franka Potente, Joan Allen, Brian Cox",454059,2004,176.24,Action
The Machinist,101,"Drama, Thriller",7.7,R,Brad Anderson,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian",378394,2004,1.08,Drama
Ray,152,"Biography, Drama, Music",7.7,PG-13,Taylor Hackford,"Jamie Foxx, Regina King, Kerry Washington, Clifton Powell",145152,2004,75.33,Biography
Lost in Translation,102,"Comedy, Drama",7.7,R,Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi, Anna Faris",441246,2003,44.59,Comedy
Harry Potter and the Goblet of Fire,157,"Adventure, Family, Fantasy",7.7,PG-13,Mike Newell,"Daniel Radcliffe, Emma Watson, Rupert Grint, Eric Sykes",599435,2005,290.01,Adventure
Man on Fire,146,"Action, Crime, Drama",7.7,R,Tony Scott,"Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell",353099,2004,77.91,Action
Coraline,100,"Animation, Drama, Family",7.7,PG,Henry Selick,"Dakota Fanning, Teri Hatcher, John Hodgman, Jennifer Saunders",216066,2009,75.29,Animation
The Last Samurai,154,"Action, Drama",7.7,R,Edward Zwick,"Tom Cruise, Ken Watanabe, Billy Connolly, William Atherton",424594,2003,111.11,Action
The Magdalene Sisters,114,Drama,7.7,R,Peter Mullan,"Eileen Walsh, Dorothy Duffy, Nora-Jane Noone, Anne-Marie Duff",26976,2002,4.89,Drama
The Man Without a Past,97,"Comedy, Drama, Romance",7.7,PG-13,Aki Kaurismäki,"Markku Peltola, Kati Outinen, Annikki Tähti, Juhani Niemelä",23226,2002,0.92,Comedy
Good Bye Lenin!,121,"Comedy, Drama, Romance",7.7,R,Wolfgang Becker,"Daniel Brühl, Katrin Sass, Chulpan Khamatova, Florian Lukas",143853,2003,4.06,Comedy
In America,105,Drama,7.7,PG-13,Jim Sheridan,"Paddy Considine, Samantha Morton, Djimon Hounsou, Sarah Bolger",42774,2002,15.54,Drama
Adaptation.,115,"Comedy, Drama",7.7,R,Spike Jonze,"Nicolas Cage, Meryl Streep, Chris Cooper, Tilda Swinton",188661,2002,22.25,Comedy
Black Hawk Down,144,"Action, Drama, History",7.7,R,Ridley Scott,"Josh Hartnett, Ewan McGregor, Tom Sizemore, Eric Bana",385391,2001,108.64,Action
Brainstorm,90,Drama,7.7,Not Rated,Laís Bodanzky,"Rodrigo Santoro, Othon Bastos, Cássia Kis, Dani Nefussi",5462,2000,0.0,Drama
A Time for Drunken Horses,80,"Drama, War",7.7,Not Rated,Bahman Ghobadi,"Ayoub Ahmadi, Rojin Younessi, Amaneh Ekhtiar-dini, Madi Ekhtiar-dini",8175,2000,0.7,Drama
Glass Tiger,100,Comedy,7.7,Not Rated,Iván Kapitány,"Péter Rudolf, Gábor Reviczky, Imre Csuja, Sándor Gáspár",6650,2001,0.0,Comedy
Road to Perdition,117,"Crime, Drama, Thriller",7.7,R,Sam Mendes,"Tom Hanks, Tyler Hoechlin, Rob Maxey, Liam Aiken",261459,2002,104.45,Crime
Üç Kagitçi,88,Comedy,7.7,Not Rated,Natuk Baytan,"Kemal Sunal, Ülkü Özen, Ali Sen, Turgut Özatay",5427,1981,0.0,Comedy
Yüz Numarali Adam,79,Comedy,7.7,Not Rated,Osman F. Seden,"Kemal Sunal, Oya Aydogan, Cem Erman, Ali Sen",5549,1978,0.0,Comedy
Yedi Bela Hüsnü,84,"Adventure, Comedy",7.7,Not Rated,Natuk Baytan,"Kemal Sunal, Oya Aydogan, Erhan Abir, Ajlan Aktug",6807,1983,0.0,Adventure
Sahte Kabadayi,77,Comedy,7.7,Not Rated,Natuk Baytan,"Kemal Sunal, Abdi Algül, Bahri Ates, Tamer Balci",5799,1976,0.0,Comedy
Bekçiler Krali,82,Comedy,7.7,Not Rated,Osman F. Seden,"Kemal Sunal, Semra Türel, Reha Yurdakul, Ekrem Dümer",6282,1979,0.0,Comedy
The Tunnel,157,"Drama, History, Thriller",7.7,14A,Roland Suso Richter,"Heino Ferch, Nicolette Krebitz, Sebastian Koch, Alexandra Maria Lara",6167,2001,0.01,Drama
The Experiment,120,"Drama, Thriller",7.7,R,Oliver Hirschbiegel,"Moritz Bleibtreu, Christian Berkel, Oliver Stokowski, Wotan Wilke Möhring",93125,2001,0.14,Drama
Billy Elliot,110,"Drama, Music",7.7,R,Stephen Daldry,"Jamie Bell, Julie Walters, Jean Heywood, Jamie Draven",132719,2000,22.0,Drama
Hedwig and the Angry Inch,95,"Comedy, Drama, Music",7.7,R,John Cameron Mitchell,"John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski",35049,2001,3.03,Comedy
Peppermint Candy,129,Drama,7.7,Not Rated,Chang-dong Lee,"Sol Kyung-gu, Kim Yeo-jin, Moon So-ri, Se-beom Park",9024,1999,0.0,Drama
Ocean's Eleven,116,"Crime, Thriller",7.7,PG-13,Steven Soderbergh,"George Clooney, Brad Pitt, Julia Roberts, Matt Damon",552109,2001,183.42,Crime
Water,117,Drama,7.7,PG-13,Deepa Mehta,"Lisa Ray, John Abraham, Seema Biswas, Sarala Kariyawasam",14777,2005,3.22,Drama
Divided We Fall,117,"Comedy, Drama, War",7.7,PG-13,Jan Hrebejk,"Bolek Polívka, Csongor Kassai, Jaroslav Dusek, Anna Sisková",5129,2000,1.32,Comedy
Vampire Hunter D: Bloodlust,103,"Animation, Action, Drama",7.7,R,Jack Fletcher,"Andrew Philpot, John Rafter Lee, Pamela Adlon, Wendee Lee",31218,2000,0.15,Animation
Not One Less,106,Drama,7.7,G,Yimou Zhang,"Minzhi Wei, Huike Zhang, Zhenda Tian, Enman Gao",8713,1999,0.59,Drama
Kikujiro,122,"Drama, Comedy",7.7,PG-13,Takeshi Kitano,"Takeshi Kitano, Yusuke Sekiguchi, Kayoko Kishimoto, The Great Gidayû",20176,1999,0.2,Drama
Samsara,138,"Adventure, Drama, Romance",7.7,R,Pan Nalin,"Shawn Ku, Christy Chung, Neelesha Barthel, Lhakpa Tsering",7870,2001,0.0,Adventure
"O Brother, Where Art Thou?",107,"Adventure, Comedy, Crime",7.7,PG-13,Joel Coen,"George Clooney, John Turturro, Tim Blake Nelson, John Goodman",303383,2000,45.51,Adventure
In July,99,"Adventure, Comedy, Romance",7.7,Not Rated,Fatih Akin,"Moritz Bleibtreu, Christiane Paul, Mehmet Kurtulus, Idil Üner",21823,2000,0.0,Adventure
Train of Life,103,"Comedy, Drama, War",7.7,R,Radu Mihaileanu,"Lionel Abelanski, Rufus, Clément Harari, Michel Muller",9157,1998,0.15,Comedy
Interstate 60: Episodes of the Road,116,"Adventure, Comedy, Drama",7.7,R,Bob Gale,"James Marsden, Gary Oldman, Kurt Russell, Matthew Edison",31947,2002,0.0,Adventure
"South Park: Bigger, Longer & Uncut",81,"Animation, Comedy, Fantasy",7.7,R,Trey Parker,"Trey Parker, Matt Stone, Mary Kay Bergman, Isaac Hayes",201105,1999,52.04,Animation
Lady Snowblood,97,"Action, Drama, Thriller",7.7,Not Rated,Toshiya Fujita,"Meiko Kaji, Toshio Kurosawa, Masaaki Daimon, Miyoko Akaza",13850,1973,0.0,Action
Office Space,89,Comedy,7.7,R,Mike Judge,"Ron Livingston, Jennifer Aniston, David Herman, Ajay Naidu",257639,1999,10.82,Comedy
Earth,110,"Drama, Romance, War",7.7,Not Rated,Deepa Mehta,"Aamir Khan, Nandita Das, Rahul Khanna, Maia Sethna",7771,1998,0.53,Drama
Cholera Street,120,"Crime, Drama, Romance",7.7,Not Rated,Mustafa Altioklar,"Okan Bayülgen, Müjde Ar, Savas Dinçel, Mustafa Ugurlu",10952,1997,0.0,Crime
Happiness,134,"Comedy, Drama",7.7,NC-17,Todd Solondz,"Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker",69279,1998,2.81,Comedy
The Boondock Saints,108,"Action, Thriller",7.7,R,Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco",235734,1999,0.03,Action
Dragon Ball Z: Revival Fusion,51,"Animation, Action, Sci-Fi",7.7,PG,Shigeyasu Yamauchi,"Masako Nozawa, Ryô Horikawa, Takeshi Kusao, Daisuke Gôri",10705,1995,0.0,Animation
Training Day,122,"Adventure, Crime, Drama",7.7,R,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger",419327,2001,76.63,Adventure
Three Men and a Leg,100,Comedy,7.7,Not Rated,Aldo Baglio,"Aldo Baglio, Giovanni Storti, Giacomo Poretti, Marina Massironi",8973,1997,0.0,Comedy
Lovers of the Arctic Circle,112,"Drama, Mystery, Romance",7.7,R,Julio Medem,"Najwa Nimri, Fele Martínez, Nancho Novo, Maru Valdivielso",18853,1998,0.5,Drama
Run Lola Run,80,"Crime, Drama, Thriller",7.7,R,Tom Tykwer,"Franka Potente, Moritz Bleibtreu, Herbert Knaup, Nina Petri",195986,1998,7.27,Crime
Rushmore,93,"Comedy, Drama, Romance",7.7,R,Wes Anderson,"Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel",181210,1998,17.11,Comedy
Somersault in a Coffin,76,Drama,7.7,Not Rated,Dervis Zaim,"Ahmet Ugurlu, Tuncel Kurtiz, Aysen Aydemir, Serif Erol",10054,1996,0.0,Drama
Open Your Eyes,119,"Drama, Mystery, Sci-Fi",7.7,R,Alejandro Amenábar,"Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez",68290,1997,0.37,Drama
The Thief,96,"Crime, Drama",7.7,R,Pavel Chukhray,"Vladimir Mashkov, Yekaterina Rednikova, Mikhail Filipchuk, Dima Chigaryov",5246,1997,1.13,Crime
Black Cat,99,"Drama, Horror",7.7,Not Rated,Kaneto Shindô,"Kichiemon Nakamura, Nobuko Otowa, Kei Satô, Rokkô Toura",7178,1968,0.0,Drama
The Crazy Stranger,102,"Comedy, Drama, Music",7.7,Unrated,Tony Gatlif,"Romain Duris, Rona Hartner, Izidor Serban, Ovidiu Balan",7843,1997,0.67,Comedy
Mulan,88,"Animation, Adventure, Comedy",7.7,G,Tony Bancroft,"Ming-Na Wen, Eddie Murphy, BD Wong, Miguel Ferrer",276202,1998,120.62,Animation
Being John Malkovich,113,"Comedy, Drama, Fantasy",7.7,R,Spike Jonze,"John Cusack, Cameron Diaz, Catherine Keener, John Malkovich",327829,1999,22.86,Comedy
As Good as It Gets,139,"Comedy, Drama, Romance",7.7,PG-13,James L. Brooks,"Jack Nicholson, Helen Hunt, Greg Kinnear, Cuba Gooding Jr.",292510,1997,148.48,Comedy
Character,122,"Crime, Drama, Mystery",7.7,R,Mike van Diem,"Pavlik Jansen op de Haar, Jan Decleir, Fedja van Huêt, Betty Schuurman",10810,1997,0.71,Crime
Fireworks,103,"Crime, Drama, Romance",7.7,18A,Takeshi Kitano,"Takeshi Kitano, Kayoko Kishimoto, Ren Ôsugi, Susumu Terajima",29968,1997,0.23,Crime
The Game,129,"Drama, Mystery, Thriller",7.7,R,David Fincher,"Michael Douglas, Deborah Kara Unger, Sean Penn, James Rebhorn",378953,1997,48.32,Drama
The Fifth Element,126,"Action, Adventure, Sci-Fi",7.7,PG-13,Luc Besson,"Bruce Willis, Milla Jovovich, Gary Oldman, Ian Holm",459009,1997,63.54,Action
Le Dîner de Cons,80,Comedy,7.7,PG-13,Francis Veber,"Thierry Lhermitte, Jacques Villeret, Francis Huster, Daniel Prévost",40818,1998,4.07,Comedy
Donnie Brasco,127,"Biography, Crime, Drama",7.7,R,Mike Newell,"Al Pacino, Johnny Depp, Michael Madsen, Bruno Kirby",297225,1997,41.91,Biography
Happy Together,96,"Drama, Romance",7.7,PA,Kar-Wai Wong,"Leslie Cheung, Tony Chiu-Wai Leung, Chang Chen, Gregory Dayton",27393,1997,0.19,Drama
The Castle,85,"Comedy, Drama",7.7,R,Rob Sitch,"Michael Caton, Anne Tenney, Stephen Curry, Anthony Simcoe",16051,1997,0.86,Comedy
Shine,105,"Biography, Drama, Music",7.7,PG-13,Scott Hicks,"Geoffrey Rush, Armin Mueller-Stahl, Justin Braine, Sonia Todd",53632,1996,35.81,Biography
Shall We Dance?,136,"Comedy, Drama, Music",7.7,PG,Masayuki Suô,"Kôji Yakusho, Tamiyo Kusakari, Naoto Takenaka, Eri Watanabe",11021,1996,9.68,Comedy
Primal Fear,129,"Crime, Drama, Mystery",7.7,R,Gregory Hoblit,"Richard Gere, Laura Linney, Edward Norton, John Mahoney",206073,1996,56.12,Crime
Drifting Clouds,97,"Comedy, Drama",7.7,Not Rated,Aki Kaurismäki,"Kati Outinen, Kari Väänänen, Elina Salo, Sakari Kuosmanen",7662,1996,0.0,Comedy
Hamlet,242,Drama,7.7,PG-13,Kenneth Branagh,"Kenneth Branagh, Julie Christie, Derek Jacobi, Kate Winslet",37641,1996,4.41,Drama
Ulysses' Gaze,176,"Drama, War",7.7,Unrated,Theodoros Angelopoulos,"Harvey Keitel, Maia Morgenstern, Erland Josephson, Thanasis Vengos",6753,1995,0.04,Drama
Sense and Sensibility,136,"Drama, Romance",7.7,PG,Ang Lee,"Emma Thompson, Kate Winslet, James Fleet, Tom Wilkinson",112306,1995,43.18,Drama
A Little Princess,97,"Drama, Family, Fantasy",7.7,G,Alfonso Cuarón,"Liesel Matthews, Eleanor Bron, Liam Cunningham, Rusty Schwimmer",34036,1995,10.02,Drama
Fallen Angels,99,"Comedy, Crime, Drama",7.7,Not Rated,Kar-Wai Wong,"Leon Lai, Michelle Reis, Takeshi Kaneshiro, Charlie Yeung",35715,1995,0.0,Comedy
A Chinese Odyssey: Part One - Pandora's Box,87,"Action, Adventure, Comedy",7.7,Not Rated,Jeffrey Lau,"Stephen Chow, Man-Tat Ng, Kar-Ying Law, Kit Ying Lam",6983,1995,0.0,Action
The Cure,97,Drama,7.7,PG-13,Peter Horton,"Joseph Mazzello, Brad Renfro, Aeryk Egan, Delphine French",9799,1995,2.57,Drama
The White Balloon,85,"Drama, Family",7.7,Unrated,Jafar Panahi,"Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska",7280,1995,0.47,Drama
The Postman,108,"Biography, Comedy, Drama",7.7,PG,Michael Radford,"Massimo Troisi, Philippe Noiret, Maria Grazia Cucinotta, Renato Scarpa",35822,1994,21.85,Biography
Clerks,92,Comedy,7.7,R,Kevin Smith,"Brian O'Halloran, Jeff Anderson, Marilyn Ghigliotti, Lisa Spoonauer",218790,1994,3.15,Comedy
What's Eating Gilbert Grape,118,Drama,7.7,PG-13,Lasse Hallström,"Johnny Depp, Leonardo DiCaprio, Juliette Lewis, Mary Steenburgen",230099,1993,9.17,Drama
Short Cuts,188,"Comedy, Drama",7.7,R,Robert Altman,"Andie MacDowell, Julianne Moore, Tim Robbins, Bruce Davison",44304,1993,6.11,Comedy
Philadelphia,125,Drama,7.7,PG-13,Jonathan Demme,"Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman",236415,1993,77.32,Drama
The Joy Luck Club,139,Drama,7.7,R,Wayne Wang,"Tamlyn Tomita, Rosalind Chao, Kieu Chinh, Tsai Chin",16288,1993,32.86,Drama
Gettysburg,271,"Drama, History, War",7.7,PG,Ron Maxwell,"Tom Berenger, Martin Sheen, Stephen Lang, Richard Jordan",28758,1993,10.77,Drama
Baazigar,175,"Crime, Drama, Musical",7.7,Not Rated,Abbas Alibhai Burmawalla,"Shah Rukh Khan, Kajol, Dalip Tahil, Rakhee Gulzar",27567,1993,0.0,Crime
La Vie de Bohème,103,"Comedy, Drama, Romance",7.7,Not Rated,Aki Kaurismäki,"Matti Pellonpää, Evelyne Didi, André Wilms, Kari Väänänen",5501,1992,0.0,Comedy
